Group;ID_leaf;PlaylistID;OPCION;L1;L2;L3;L4;SIL;P1;SIL_1;P2;SIL_2;P3;SIL_3;P4;SIL_4;A1;SIL_5;A2;SIL_6;A3;SIL_7;A4
9;9,82126E+14;Gr9_4277-1;1;A;D;A;B;SIL;G2;SIL_1;H2;SIL_2;F2;SIL_3;E2;SIL_4;I1;SIL_5;J1;SIL_6;L1;SIL_7;K1
9;9,82126E+14;Gr9_4300-1;1;A;B;D;A;SIL;G2;SIL_1;H2;SIL_2;F2;SIL_3;E2;SIL_4;J1;SIL_5;L1;SIL_6;K1;SIL_7;I1
9;9,82126E+14;Gr9_5103-1;1;B;A;D;A;SIL;H2;SIL_1;E2;SIL_2;G2;SIL_3;F2;SIL_4;I1;SIL_5;J1;SIL_6;L1;SIL_7;K1
9;9,82091E+14;Gr9_7919-1;1;A;A;B;D;SIL;F2;SIL_1;H2;SIL_2;E2;SIL_3;G2;SIL_4;L1;SIL_5;I1;SIL_6;K1;SIL_7;J1
5;9,82126E+14;Gr5_5119-1;1;D;C;A;D;SIL;E1;SIL_1;F1;SIL_2;G1;SIL_3;H1;SIL_4;L2;SIL_5;I2;SIL_6;K2;SIL_7;J2
5;9,82126E+14;Gr5_4301-1;1;D;D;A;C;SIL;E1;SIL_1;H1;SIL_2;G1;SIL_3;F1;SIL_4;L2;SIL_5;K2;SIL_6;I2;SIL_7;J2
13;9,82126E+14;Gr13_8540-1;1;D;C;D;B;SIL;E2;SIL_1;F2;SIL_2;G2;SIL_3;H2;SIL_4;L2;SIL_5;I2;SIL_6;K2;SIL_7;J2
13;9,82126E+14;Gr13_8521-1;1;B;D;D;C;SIL;E2;SIL_1;H2;SIL_2;G2;SIL_3;F2;SIL_4;L2;SIL_5;K2;SIL_6;I2;SIL_7;J2
7;9,82126E+14;Gr7_5113-1;1;C;D;C;A;SIL;E1;SIL_1;F1;SIL_2;H1;SIL_3;G1;SIL_4;J2;SIL_5;I2;SIL_6;L2;SIL_7;K2
7;9,82126E+14;Gr7_5141-1;1;C;A;C;D;SIL;E1;SIL_1;F1;SIL_2;G1;SIL_3;H1;SIL_4;I2;SIL_5;J2;SIL_6;L2;SIL_7;K2
