ID_leaf;PlaylistID;TIPO;Tratamiento_significado;parentesco;asociacion;riesgo;segmento;orden_segmento;Conteo
982091068543556;Gr14_3556_2;R;NP-A;NO PARIENTE;ASOCIADO;CONTROL;L3;34;3
982091068543556;Gr14_3556_2;R;NP-A_D;NO PARIENTE;ASOCIADO;DEPREDADOR;P3;69;1
982091068543556;Gr14_3556_2;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;A3;80;1
982091068543556;Gr14_3556_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L1;34;12
982091068543556;Gr14_3556_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L4;34;2
982091068543556;Gr14_3556_2;R;P-A;PARIENTE;ASOCIADO;CONTROL;L2;34;12
982091068543556;Gr14_3556_2;R;P-A_D;PARIENTE;ASOCIADO;DEPREDADOR;P1;69;3
982091068543556;Gr14_3556_2;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;P2;69;1
982091068554421;Gr1_4421_1;R;NP-A;NO PARIENTE;ASOCIADO;CONTROL;L3;14;15
982091068554421;Gr1_4421_1;R;NP-A_D;NO PARIENTE;ASOCIADO;DEPREDADOR;A2;82;6
982091068554421;Gr1_4421_1;R;NP-A_D;NO PARIENTE;ASOCIADO;DEPREDADOR;P1;52;1
982091068554421;Gr1_4421_1;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;A4;82;10
982091068554421;Gr1_4421_1;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;P2;52;5
982091068554421;Gr1_4421_1;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L2;14;35
982091068554421;Gr1_4421_1;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L4;14;25
982091068554421;Gr1_4421_1;R;NP-NOAS_D;NO PARIENTE;NO ASOCIADO;DEPREDADOR;A1;82;7
982091068554421;Gr1_4421_1;R;NP-NOAS_I;NO PARIENTE;NO ASOCIADO;INSECTIVORO;A3;82;30
982091068554421;Gr1_4421_1;R;P-A;PARIENTE;ASOCIADO;CONTROL;L1;14;44
982091068554421;Gr1_4421_1;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;P3;52;14
982091068554421;Gr1_4421_2;R;NP-A;NO PARIENTE;ASOCIADO;CONTROL;L1;26;4
982091068554421;Gr1_4421_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L2;26;4
982091068554421;Gr1_4421_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L4;26;2
982091068554421;Gr1_4421_2;R;P-A;PARIENTE;ASOCIADO;CONTROL;L3;26;5
982091068557919;Gr9_7919_1;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L4;4;30
982091068557919;Gr9_7919_1;R;NP-NOAS_D;NO PARIENTE;NO ASOCIADO;DEPREDADOR;P1;44;31
982091068557919;Gr9_7919_1;R;NP-NOAS_I;NO PARIENTE;NO ASOCIADO;INSECTIVORO;P2;44;42
982091068557919;Gr9_7919_1;R;P-A;PARIENTE;ASOCIADO;CONTROL;L1;4;44
982091068557919;Gr9_7919_1;R;P-A;PARIENTE;ASOCIADO;CONTROL;L2;4;50
982091068557919;Gr9_7919_1;R;P-A_D;PARIENTE;ASOCIADO;DEPREDADOR;A2;79;30
982091068557919;Gr9_7919_1;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;A3;79;32
982091068557919;Gr9_7919_1;R;P-NOAS;PARIENTE;NO ASOCIADO;CONTROL;L3;4;16
982091068557919;Gr9_7919_1;R;P-NOAS_D;PARIENTE;NO ASOCIADO;DEPREDADOR;P3;44;1
982091068557919;Gr9_7919_1;R;P-NOAS_I;PARIENTE;NO ASOCIADO;INSECTIVORO;A1;79;6
982091068557919;Gr9_7919_1;R;P-NOAS_I;PARIENTE;NO ASOCIADO;INSECTIVORO;P4;44;2
982091068557919;Gr9_7919_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L1;25;21
982091068557919;Gr9_7919_2;R;NP-NOAS_D;NO PARIENTE;NO ASOCIADO;DEPREDADOR;P3;63;6
982091068557919;Gr9_7919_2;R;NP-NOAS_I;NO PARIENTE;NO ASOCIADO;INSECTIVORO;P1;63;14
982091068557919;Gr9_7919_2;R;P-A;PARIENTE;ASOCIADO;CONTROL;L2;25;21
982091068557919;Gr9_7919_2;R;P-A;PARIENTE;ASOCIADO;CONTROL;L4;25;15
982091068557919;Gr9_7919_2;R;P-A_D;PARIENTE;ASOCIADO;DEPREDADOR;A3;96;2
982091068557919;Gr9_7919_2;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;A2;96;12
982091068557919;Gr9_7919_2;R;P-NOAS;PARIENTE;NO ASOCIADO;CONTROL;L3;25;8
982091068557919;Gr9_7919_2;R;P-NOAS_D;PARIENTE;NO ASOCIADO;DEPREDADOR;A4;96;3
982091068557919;Gr9_7919_2;R;P-NOAS_D;PARIENTE;NO ASOCIADO;DEPREDADOR;P2;63;10
982091068557919;Gr9_7919_3;R;NP-NOAS_D;NO PARIENTE;NO ASOCIADO;DEPREDADOR;P2;47;4
982091068557919;Gr9_7919_3;R;P-NOAS_D;PARIENTE;NO ASOCIADO;DEPREDADOR;P1;47;1
982091068563072;Gr4_3072_1;R;NP-A;NO PARIENTE;ASOCIADO;CONTROL;L4;23;24
982091068563072;Gr4_3072_1;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;A1;93;8
982091068563072;Gr4_3072_1;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;P2;59;8
982091068563072;Gr4_3072_1;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L2;23;26
982091068563072;Gr4_3072_1;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L3;23;31
982091068563072;Gr4_3072_1;R;NP-NOAS_D;NO PARIENTE;NO ASOCIADO;DEPREDADOR;A2;93;16
982091068563072;Gr4_3072_1;R;NP-NOAS_I;NO PARIENTE;NO ASOCIADO;INSECTIVORO;A4;93;20
982091068563072;Gr4_3072_1;R;P-A;PARIENTE;ASOCIADO;CONTROL;L1;23;24
982091068563072;Gr4_3072_1;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;P1;59;4
982091068563072;Gr4_3072_2;R;NP-A;NO PARIENTE;ASOCIADO;CONTROL;L1;39;24
982091068563072;Gr4_3072_2;R;NP-A_D;NO PARIENTE;ASOCIADO;DEPREDADOR;A2;97;2
982091068563072;Gr4_3072_2;R;NP-A_D;NO PARIENTE;ASOCIADO;DEPREDADOR;P1;60;6
982091068563072;Gr4_3072_2;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;A4;97;2
982091068563072;Gr4_3072_2;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;P4;60;3
982091068563072;Gr4_3072_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L3;39;28
982091068563072;Gr4_3072_2;R;NP-NOAS;NO PARIENTE;NO ASOCIADO;CONTROL;L4;39;26
982091068563072;Gr4_3072_2;R;NP-NOAS_I;NO PARIENTE;NO ASOCIADO;INSECTIVORO;A1;97;1
982091068563072;Gr4_3072_2;R;P-A;PARIENTE;ASOCIADO;CONTROL;L2;39;36
982091068563072;Gr4_3072_2;R;P-A_D;PARIENTE;ASOCIADO;DEPREDADOR;P2;60;3
982091068563072;Gr4_3072_2;R;P-A_I;PARIENTE;ASOCIADO;INSECTIVORO;P3;60;8
982091068563072;Gr4_3072_3;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;A4;83;6
982091068563072;Gr4_3072_3;R;NP-A_I;NO PARIENTE;ASOCIADO;INSECTIVORO;P1;53;5
