Group;ID_leaf;PlaylistID;Global_Code_LINEABASE;Global_Code_PARENTESCO;Global_Code_ASOCIACION
9;9,82126E+14;Gr9_4277-1;1;42;77
9;9,82126E+14;Gr9_4300-1;2;42;78
9;9,82126E+14;Gr9_5103-1;3;43;77
9;9,82091E+14;Gr9_7919-1;4;44;79
5;9,82126E+14;Gr5_5119-1;5;45;80
5;9,82126E+14;Gr5_4301-1;6;46;81
13;9,82126E+14;Gr13_8540-1;7;47;80
13;9,82126E+14;Gr13_8521-1;8;48;81
7;9,82126E+14;Gr7_5113-1;9;49;82
7;9,82126E+14;Gr7_5141-1;10;45;83
8;9,82126E+14;Gr8_6186-1;11;50;83
8;9,82126E+14;Gr8_8475-1;12;51;84
6;9,82126E+14;Gr6_6231-1;13;42;85
1;9,82091E+14;Gr1_4421-1;14;52;82
1;9,82126E+14;Gr1_4331-1;15;53;86
10;9,82126E+14;Gr10_5921-1;16;54;87
10;9,002E+14;Gr10_6430-1;17;55;88
10;9,82126E+14;Gr10_5106-1;10;55;88
14;9,82126E+14;Gr14_5099-1;14;55;88
14;9,82091E+14;Gr14_3556-1;15;53;86
14;9,82126E+14;Gr14_6154-1;18;56;89
3;9,002E+14;Gr3_9490-1;19;57;90
3;9,82126E+14;Gr3_4334-1;20;58;91
3;9,82126E+14;Gr3_4346-1;21;56;92
11;9,82126E+14;Gr11_5125-1;22;58;91
4;9,82091E+14;Gr4_3072-1;23;59;93
4;9,82126E+14;Gr4_6209-1;14;60;94
2;9,82126E+14;Gr2_4287-1;1;42;77
2;9,82126E+14;Gr2_6277-1;2;42;78
2;9,82126E+14;Gr2_5093-1;3;43;77
9;9,82126E+14;Gr9_4277-2;2;61;91
9;9,82126E+14;Gr9_4300-2;24;62;95
9;9,82126E+14;Gr9_5103-2;24;58;77
9;9,82091E+14;Gr9_7919-2;25;63;96
5;9,82126E+14;Gr5_5119-2;15;50;97
5;9,82126E+14;Gr5_4301-2;26;55;98
13;9,82126E+14;Gr13_8540-2;27;64;94
13;9,82126E+14;Gr13_8521-2;7;56;97
7;9,82126E+14;Gr7_5113-2;28;65;82
7;9,82126E+14;Gr7_5141-2;29;49;99
8;9,82126E+14;Gr8_6186-2;30;66;100
8;9,82126E+14;Gr8_8475-2;31;67;101
6;9,82126E+14;Gr6_6231-2;32;43;102
1;9,82091E+14;Gr1_4421-2;26;55;103
1;9,82126E+14;Gr1_4331-2;33;45;104
10;9,82126E+14;Gr10_5921-2;18;56;99
10;9,002E+14;Gr10_6430-2;28;52;105
10;9,82126E+14;Gr10_5106-2;10;52;81
14;9,82126E+14;Gr14_5099-2;15;68;106
14;9,82091E+14;Gr14_3556-2;34;69;80
14;9,82126E+14;Gr14_6154-2;35;70;100
3;9,002E+14;Gr3_9490-2;36;58;107
3;9,82126E+14;Gr3_4334-2;37;71;92
3;9,82126E+14;Gr3_4346-2;1;71;77
11;9,82126E+14;Gr11_5125-2;38;48;92
4;9,82091E+14;Gr4_3072-2;39;60;97
4;9,82126E+14;Gr4_6209-2;34;72;105
2;9,82126E+14;Gr2_4287-2;24;44;79
2;9,82126E+14;Gr2_5093-2;25;61;91
9;9,82126E+14;Gr9_4277-3;40;47;96
9;9,82126E+14;Gr9_4300-3;40;73;108
9;9,82126E+14;Gr9_5103-3;40;74;102
9;9,82091E+14;Gr9_7919-3;40;47;103
5;9,82126E+14;Gr5_5119-3;40;75;106
5;9,82126E+14;Gr5_4301-3;40;45;84
7;9,82126E+14;Gr7_5113-3;40;72;104
8;9,82126E+14;Gr8_6186-3;40;75;86
6;9,82126E+14;Gr6_6231-3;40;64;87
1;9,82091E+14;Gr1_4421-3;40;76;106
1;9,82126E+14;Gr1_4331-3;40;66;83
10;9,82126E+14;Gr10_5106-3;40;68;86
14;9,82126E+14;Gr14_5099-3;40;51;81
14;9,82091E+14;Gr14_3556-3;40;75;100
14;9,82126E+14;Gr14_6154-3;40;57;80
3;9,002E+14;Gr3_9490-3;40;62;109
3;9,82126E+14;Gr3_4334-3;40;43;108
3;9,82126E+14;Gr3_4346-3;40;73;79
11;9,82126E+14;Gr11_5125-3;40;54;108
4;9,82091E+14;Gr4_3072-3;40;53;83
4;9,82126E+14;Gr4_6209-3;40;68;82
13;9,82126E+14;Gr13_6218;41;40;40
13;9,82091E+14;Gr13_4134;41;40;40
13;9,82126E+14;Gr13_5054;41;40;40
7;9,82126E+14;Gr7_5097-1;41;40;40
7;9,82126E+14;Gr7_6208-1;41;40;40
7;9,82126E+14;Gr7_5081-1;41;40;40
7;9,82126E+14;Gr7_8504-1;41;40;40
6;9,82126E+14;Gr6_8470;41;40;40
6;9,82126E+14;Gr6_5225;41;40;40
6;9,82126E+14;Gr6_5067;41;40;40
8;9,002E+14;Gr8_9820-1;41;40;40
8;9,82091E+14;Gr8_8985-1;41;40;40
8;9,82126E+14;Gr8_5126-1;41;40;40
8;9,82091E+14;Gr8_5159-1;41;40;40
10;9,82126E+14;Gr10_6246-1;41;40;40
10;9,82126E+14;Gr10_5238-1;41;40;40
10;9,82091E+14;Gr10_3612-1;41;40;40
14;9,82091E+14;Gr14-6950-1;41;40;40
3;9,82091E+14;Gr3-6844-1;41;40;40
3;9,82091E+14;Gr3-9172-1;41;40;40
3;9,82091E+14;Gr3-4727-1;41;40;40
3;9,82126E+14;Gr3-6193-1;41;40;40
1;9,82126E+14;Gr1_5073;41;40;40
4;9,82126E+14;Gr4_6156-1;41;40;40
15;9,82091E+14;Gr15_2124;41;40;40
15;9,82126E+14;Gr15_5110;41;40;40
15;9,82091E+14;Gr15_8387;41;40;40
15;9,82126E+14;Gr15_5130;41;40;40
5;9,002E+14;Gr5_9415-2;41;40;40
5;9,82126E+14;Gr5_5098-2;41;40;40
5;9,82126E+14;Gr5_5051-2;41;40;40
5;9,82126E+14;Gr5_5087-2;41;40;40
5;9,82126E+14;Gr5_5051-2;41;40;40
12;9,82126E+14;Gr12-5142-1;41;40;40
12;9,82126E+14;Gr12-5080-1;41;40;40
12;9,82126E+14;Gr12-5204-1;41;40;40
12;9,82126E+14;Gr12-5162-1;41;40;40
12;9,82126E+14;Gr12-5205-1;41;40;40
