;SITIO;FECHA;HORA;playlist ;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11
0;1;3/04/2024;8:00:00 pm;1;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
1;1;3/04/2024;8:20:00 pm;2;RUI; SIL; RES; SIL; SIL; RES; SIL; RUI;;;
2;1;3/04/2024;8:40:00 pm;3;RES; SIL;RUI; SIL; SIL ; RUI; SIL;  RES;;;
3;1;3/04/2024;9:00:00 pm;4;RES; SIL; RES; SIL; SIL; RUI; SIL; RUI;;;
4;1;3/04/2024;9:20:00 pm;5;RUI; SIL; RES; SIL; SIL; RUI; SIL; RES;;;
5;1;3/04/2024;9:40:00 pm;1;RES; SIL; RUI; SIL; SIL; RES; SIL; RUI;;;
6;1;3/04/2024;10:00:00 pm;6;RUI; SIL; RUI; SIL; SIL;RES; SIL; RES;;;
7;1;3/04/2024;10:20:00 pm;3;RES; SIL; RES; SIL; SIL; RUI; SIL; RUI;;;
8;1;3/04/2024;10:40:00 pm;2;RUI; SIL; RES; SIL;SIL; RES; SIL; RUI;;;
9;2;4/04/2024;8:00:00 pm;7;RUI; SIL; RES; SIL; SIL; RUI; SIL; RES;;;
10;2;4/04/2024;8:20:00 pm;8;RES; SIL;RUI; SIL; SIL;RUI; SIL;  RES;;;
11;2;4/04/2024;8:40:00 pm;7;RUI; SIL; RES; SIL; SIL;RUI; SIL; RES;;;
12;2;4/04/2024;9:00:00 pm;9;RUI; SIL; RES; SIL; SIL;RES; SIL; RUI;;;
13;2;4/04/2024;9:20:00 pm;10;RES; SIL; RUI; SIL; SIL;RES; SIL; RUI;;;
14;2;4/04/2024;9:40:00 pm;9;RUI; SIL; RES; SIL; SIL;RES; SIL; RUI;;;
15;2;4/04/2024;10:00:00 pm;11;RES; SIL; RES; SIL;SIL; RUI; SIL; RUI;;;
16;2;4/04/2024;10:20:00 pm;12;RUI; SIL; RUI; SIL;SIL; RES; SIL; RES;;;
17;2;4/04/2024;10:40:00 pm;10;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
18;3;5/04/2024;8:00:00 pm;13;RES; SIL;RUI; SIL;SIL; RUI; SIL;  RES;;;
19;3;5/04/2024;8:20:00 pm;14;RES; SIL; RES; SIL;SIL; RUI; SIL; RUI;;;
20;3;5/04/2024;8:40:00 pm;15;RUI; SIL; RES; SIL; SIL;RUI; SIL; RES;;;
21;3;5/04/2024;9:00:00 pm;16;RES; SIL; RUI; SIL;SIL; RES; SIL; RUI;;;
22;3;5/04/2024;9:20:00 pm;17;RUI; SIL; RUI; SIL; SIL;RES; SIL; RES;;;
23;3;5/04/2024;9:40:00 pm;18;RUI; SIL; RES; SIL;SIL; RES; SIL; RUI;;;
24;3;5/04/2024;10:00:00 pm;13;RES; SIL;RUI; SIL; SIL;RUI; SIL;  RES;;;
25;3;5/04/2024;10:20:00 pm;15;RUI; SIL; RES; SIL;SIL; RUI; SIL; RES;;;
26;3;5/04/2024;10:40:00 pm;17;RUI; SIL; RUI; SIL; SIL; RES; SIL; RES;;;
27;1;6/04/2024;8:00:00 pm;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
28;1;6/04/2024;8:20:00 pm;20;DIS; SIL; RUI; SIL; RUI; SIL; RES; SIL; DIS;  SIL; RES
29;1;6/04/2024;8:40:00 pm;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
30;1;6/04/2024;9:00:00 pm;22;RUI; SIL; RES; SIL; DIS; SIL; DIS; SIL; RUI; SIL; RES
31;1;6/04/2024;9:20:00 pm;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
32;1;6/04/2024;9:40:00 pm;24;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
33;1;6/04/2024;10:00:00 pm;21;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
34;1;6/04/2024;10:20:00 pm;23;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
35;1;6/04/2024;10:40:00 pm;19;RES; SIL; RUI; SIL; DIS; SIL;RES; SIL; RUI;SIL;DIS
36;2;7/04/2024;8:00:00 pm;25;DIS;SIL; RES; SIL; RES; SIL; RUI; SIL; RUI; SIL; DIS
37;2;7/04/2024;8:20:00 pm;26;RUI; SIL; DIS; SIL; RES; SIL;DIS; SIL; RES; SIL; RUI
38;2;7/04/2024;8:40:00 pm;27;RES; SIL; DIS; SIL ;RUI; SIL; DIS; SIL; RUI; SIL;  RES
