index;SITIO;FECHA;HORA;playlist;Tipo;Valor
0;1;3/04/2024;20:00:00;1;T1;RES
0;1;3/04/2024;20:01:00;1;T2; SIL
0;1;3/04/2024;20:02:00;1;T3; RUI
0;1;3/04/2024;20:03:00;1;T4; SIL
0;1;3/04/2024;20:04:00;1;T5;SIL
0;1;3/04/2024;20:05:00;1;T6; RES
0;1;3/04/2024;20:06:00;1;T7; SIL
0;1;3/04/2024;20:07:00;1;T8; RUI
0;1;3/04/2024;20:08:00;1;T9;
0;1;3/04/2024;20:09:00;1;T10;
0;1;3/04/2024;20:10:00;1;T11;
5;1;3/04/2024;21:40:00;1;T1;RES
5;1;3/04/2024;21:41:00;1;T2; SIL
5;1;3/04/2024;21:42:00;1;T3; RUI
5;1;3/04/2024;21:43:00;1;T4; SIL
5;1;3/04/2024;21:44:00;1;T5; SIL
5;1;3/04/2024;21:45:00;1;T6; RES
5;1;3/04/2024;21:46:00;1;T7; SIL
5;1;3/04/2024;21:47:00;1;T8; RUI
5;1;3/04/2024;21:48:00;1;T9;
5;1;3/04/2024;21:49:00;1;T10;
5;1;3/04/2024;21:50:00;1;T11;
1;1;3/04/2024;20:20:00;2;T1;RUI
1;1;3/04/2024;20:21:00;2;T2; SIL
1;1;3/04/2024;20:22:00;2;T3; RES
1;1;3/04/2024;20:23:00;2;T4; SIL
1;1;3/04/2024;20:24:00;2;T5; SIL
1;1;3/04/2024;20:25:00;2;T6; RES
1;1;3/04/2024;20:26:00;2;T7; SIL
1;1;3/04/2024;20:27:00;2;T8; RUI
1;1;3/04/2024;20:28:00;2;T9;
1;1;3/04/2024;20:29:00;2;T10;
1;1;3/04/2024;20:30:00;2;T11;
8;1;3/04/2024;22:40:00;2;T1;RUI
8;1;3/04/2024;22:41:00;2;T2; SIL
8;1;3/04/2024;22:42:00;2;T3; RES
8;1;3/04/2024;22:43:00;2;T4; SIL
8;1;3/04/2024;22:44:00;2;T5;SIL
8;1;3/04/2024;22:45:00;2;T6; RES
8;1;3/04/2024;22:46:00;2;T7; SIL
8;1;3/04/2024;22:47:00;2;T8; RUI
8;1;3/04/2024;22:48:00;2;T9;
8;1;3/04/2024;22:49:00;2;T10;
8;1;3/04/2024;22:50:00;2;T11;
2;1;3/04/2024;20:40:00;3;T1;RES
2;1;3/04/2024;20:41:00;3;T2; SIL
2;1;3/04/2024;20:42:00;3;T3;RUI
2;1;3/04/2024;20:43:00;3;T4; SIL
2;1;3/04/2024;20:44:00;3;T5; SIL 
2;1;3/04/2024;20:45:00;3;T6; RUI
2;1;3/04/2024;20:46:00;3;T7; SIL
2;1;3/04/2024;20:47:00;3;T8;  RES
