index;sitio;fecha;hora;playlist;tipo;tratamiento;hora_especifica;comportamiento;id;archivo_video;archivo_tabla_de_selección;observaciones
0;1;3/04/2024;20:00:00;1;T1;RES;;AUSENCIA;;;;
0;1;3/04/2024;20:01:00;1;T2; SIL;;AUSENCIA;;;;
0;1;3/04/2024;20:02:00;1;T3; RUI;;AUSENCIA;;;;
0;1;3/04/2024;20:03:00;1;T4; SIL;;AUSENCIA;;;;
0;1;3/04/2024;20:04:00;1;T5;SIL;;AUSENCIA;;;;
0;1;3/04/2024;20:05:00;1;T6; RES;;AUSENCIA;;;;
0;1;3/04/2024;20:06:00;1;T7; SIL;;AUSENCIA;;;;
0;1;3/04/2024;20:07:00;1;T8; RUI;;AUSENCIA;;;;
0;1;3/04/2024;20:08:00;1;T9;;;AUSENCIA;;;;
0;1;3/04/2024;20:09:00;1;T10;;;AUSENCIA;;;;
0;1;3/04/2024;20:10:00;1;T11;;;AUSENCIA;;;;
5;1;3/04/2024;21:40:00;1;T1;RES;;AUSENCIA;;;;
5;1;3/04/2024;21:41:00;1;T2; SIL;;AUSENCIA;;;;
5;1;3/04/2024;21:42:00;1;T3; RUI;;AUSENCIA;;;;
5;1;3/04/2024;21:43:00;1;T4; SIL;;AUSENCIA;;;;
5;1;3/04/2024;21:44:00;1;T5; SIL;;AUSENCIA;;;;
5;1;3/04/2024;21:45:00;1;T6; RES;;AUSENCIA;;;;
5;1;3/04/2024;21:46:00;1;T7; SIL;;AUSENCIA;;;;
5;1;3/04/2024;21:47:00;1;T8; RUI;;AUSENCIA;;;;
5;1;3/04/2024;21:48:00;1;T9;;;AUSENCIA;;;;
5;1;3/04/2024;21:49:00;1;T10;;;AUSENCIA;;;;
5;1;3/04/2024;21:50:00;1;T11;;;AUSENCIA;;;;
1;1;3/04/2024;20:20:00;2;T1;RUI;;AUSENCIA;;;;
1;1;3/04/2024;20:21:00;2;T2; SIL;;AUSENCIA;;;;
1;1;3/04/2024;20:22:00;2;T3; RES;;AUSENCIA;;;;
1;1;3/04/2024;20:23:00;2;T4; SIL;;AUSENCIA;;;;
1;1;3/04/2024;20:24:00;2;T5; SIL;;AUSENCIA;;;;
1;1;3/04/2024;20:25:00;2;T6; RES;;AUSENCIA;;;;
1;1;3/04/2024;20:26:00;2;T7; SIL;;AUSENCIA;;;;
1;1;3/04/2024;20:27:00;2;T8; RUI;;AUSENCIA;;;;
1;1;3/04/2024;20:28:00;2;T9;;;AUSENCIA;;;;
1;1;3/04/2024;20:29:00;2;T10;;;AUSENCIA;;;;
1;1;3/04/2024;20:30:00;2;T11;;;AUSENCIA;;;;
8;1;3/04/2024;22:40:00;2;T1;RUI;;AUSENCIA;;;;
8;1;3/04/2024;22:41:00;2;T2; SIL;;AUSENCIA;;;;
8;1;3/04/2024;22:42:00;2;T3; RES;;AUSENCIA;;;;
8;1;3/04/2024;22:43:00;2;T4; SIL;;AUSENCIA;;;;
8;1;3/04/2024;22:44:00;2;T5;SIL;;AUSENCIA;;;;
8;1;3/04/2024;22:45:00;2;T6; RES;;AUSENCIA;;;;
8;1;3/04/2024;22:46:00;2;T7; SIL;;AUSENCIA;;;;
8;1;3/04/2024;22:47:00;2;T8; RUI;;AUSENCIA;;;;
8;1;3/04/2024;22:48:00;2;T9;;;AUSENCIA;;;;
8;1;3/04/2024;22:49:00;2;T10;;;AUSENCIA;;;;
8;1;3/04/2024;22:50:00;2;T11;;;AUSENCIA;;;;
2;1;3/04/2024;20:40:00;3;T1;RES;;AUSENCIA;;;;
2;1;3/04/2024;20:41:00;3;T2; SIL;;AUSENCIA;;;;
2;1;3/04/2024;20:42:00;3;T3;RUI;;AUSENCIA;;;;
2;1;3/04/2024;20:43:00;3;T4; SIL;;AUSENCIA;;;;
2;1;3/04/2024;20:44:00;3;T5; SIL ;;AUSENCIA;;;;
2;1;3/04/2024;20:45:00;3;T6; RUI;;AUSENCIA;;;;
2;1;3/04/2024;20:46:00;3;T7; SIL;;AUSENCIA;;;;
2;1;3/04/2024;20:47:00;3;T8;  RES;;AUSENCIA;;;;
2;1;3/04/2024;20:48:00;3;T9;;;AUSENCIA;;;;
2;1;3/04/2024;20:49:00;3;T10;;;AUSENCIA;;;;
2;1;3/04/2024;20:50:00;3;T11;;;AUSENCIA;;;;
7;1;3/04/2024;22:20:00;3;T1;RES;;AUSENCIA;;;;
7;1;3/04/2024;22:21:00;3;T2; SIL;;AUSENCIA;;;;
7;1;3/04/2024;22:22:00;3;T3; RES;;AUSENCIA;;;;
7;1;3/04/2024;22:23:00;3;T4; SIL;;AUSENCIA;;;;
7;1;3/04/2024;22:24:00;3;T5; SIL;;AUSENCIA;;;;
7;1;3/04/2024;22:25:00;3;T6; RUI;;AUSENCIA;;;;
7;1;3/04/2024;22:26:00;3;T7; SIL;;AUSENCIA;;;;
7;1;3/04/2024;22:27:00;3;T8; RUI;;AUSENCIA;;;;
7;1;3/04/2024;22:28:00;3;T9;;;AUSENCIA;;;;
7;1;3/04/2024;22:29:00;3;T10;;;AUSENCIA;;;;
7;1;3/04/2024;22:30:00;3;T11;;;AUSENCIA;;;;
3;1;3/04/2024;21:00:00;4;T1;RES;;AUSENCIA;;;;
3;1;3/04/2024;21:01:00;4;T2; SIL;;AUSENCIA;;;;
3;1;3/04/2024;21:02:00;4;T3; RES;;AUSENCIA;;;;
3;1;3/04/2024;21:03:00;4;T4; SIL;;AUSENCIA;;;;
3;1;3/04/2024;21:04:00;4;T5; SIL;;AUSENCIA;;;;
3;1;3/04/2024;21:05:00;4;T6; RUI;;AUSENCIA;;;;
3;1;3/04/2024;21:06:00;4;T7; SIL;;AUSENCIA;;;;
3;1;3/04/2024;21:07:00;4;T8; RUI;;AUSENCIA;;;;
3;1;3/04/2024;21:08:00;4;T9;;;AUSENCIA;;;;
3;1;3/04/2024;21:09:00;4;T10;;;AUSENCIA;;;;
3;1;3/04/2024;21:10:00;4;T11;;;AUSENCIA;;;;
4;1;3/04/2024;21:20:00;5;T1;RUI;;AUSENCIA;;;;
4;1;3/04/2024;21:21:00;5;T2; SIL;;AUSENCIA;;;;
4;1;3/04/2024;21:22:00;5;T3; RES;;AUSENCIA;;;;
4;1;3/04/2024;21:23:00;5;T4;SIL;21:23:29;TRANSITO;Phyllostomidae SP1;NOR_GCH0001_000000_20240403211958_0573;;
4;1;3/04/2024;21:24:00;5;T5; SIL;;AUSENCIA;;;;
4;1;3/04/2024;21:25:00;5;T6; RUI;;AUSENCIA;;;;
4;1;3/04/2024;21:26:00;5;T7; SIL;;AUSENCIA;;;;
4;1;3/04/2024;21:27:00;5;T8; RES;;AUSENCIA;;;;
4;1;3/04/2024;21:28:00;5;T9;;;AUSENCIA;;;;
4;1;3/04/2024;21:29:00;5;T10;;;AUSENCIA;;;;
4;1;3/04/2024;21:30:00;5;T11;;;AUSENCIA;;;;
6;1;3/04/2024;22:00:00;6;T1;RUI;;AUSENCIA;;;;
6;1;3/04/2024;22:01:00;6;T2; SIL;;AUSENCIA;;;;
6;1;3/04/2024;22:02:00;6;T3; RUI;;AUSENCIA;;;;
6;1;3/04/2024;22:03:00;6;T4; SIL;;AUSENCIA;;;;
6;1;3/04/2024;22:04:00;6;T5; SIL;;AUSENCIA;;;;
6;1;3/04/2024;22:05:00;6;T6;RES;;AUSENCIA;;;;
6;1;3/04/2024;22:06:00;6;T7; SIL;;AUSENCIA;;;;
6;1;3/04/2024;22:07:00;6;T8; RES;;AUSENCIA;;;;
6;1;3/04/2024;22:08:00;6;T9;;;AUSENCIA;;;;
6;1;3/04/2024;22:09:00;6;T10;;;AUSENCIA;;;;
6;1;3/04/2024;22:10:00;6;T11;;;AUSENCIA;;;;
9;2;4/04/2024;20:00:00;7;T1;RUI;;AUSENCIA;;;;
9;2;4/04/2024;20:01:00;7;T2; SIL;;AUSENCIA;;;;
9;2;4/04/2024;20:02:00;7;T3; RES;;AUSENCIA;;;;
9;2;4/04/2024;20:03:00;7;T4; SIL;;AUSENCIA;;;;
9;2;4/04/2024;20:04:00;7;T5; SIL;;AUSENCIA;;;;
9;2;4/04/2024;20:05:00;7;T6; RUI;;AUSENCIA;;;;
9;2;4/04/2024;20:06:00;7;T7; SIL;;AUSENCIA;;;;
9;2;4/04/2024;20:07:00;7;T8; RES;;AUSENCIA;;;;
9;2;4/04/2024;20:08:00;7;T9;;;AUSENCIA;;;;
9;2;4/04/2024;20:09:00;7;T10;;;AUSENCIA;;;;
9;2;4/04/2024;20:10:00;7;T11;;;AUSENCIA;;;;
11;2;4/04/2024;20:40:00;7;T1;RUI;;AUSENCIA;;;;
