;Audio;TIPO;Group_x;ID_leaf_x;PlaylistID;Tratamiento_significado;parentesco;asociacion;riesgo
0;2;;5;982126058484301;Gr5_4301_1;;;;
1;3;;5;982126057845119;Gr5_5119_1;;;;
2;4;START;9;982126058484277;Gr9_4277_1;;;;
3;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
4;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
5;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
6;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
7;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
8;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
9;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
10;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
11;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
12;4;R*;9;982126058484277;Gr9_4277_1;P-A;P;A;
13;4;O;9;982126058484277;Gr9_4277_1;P-A;P;A;
14;4;O;9;982126058484277;Gr9_4277_1;P-A;P;A;
15;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
16;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
17;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
18;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
19;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
20;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
21;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
22;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
23;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
24;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
25;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
26;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
27;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
28;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
29;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
30;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
31;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
32;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
33;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
34;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
35;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
36;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
37;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
38;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
39;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
40;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
41;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
42;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
43;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
44;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
45;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
46;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
47;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
48;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
49;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
50;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
51;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
52;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
53;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
54;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
55;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
56;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
57;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
58;4;E;9;982126058484277;Gr9_4277_1;P-A;P;A;
59;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
60;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
61;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
62;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
63;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
64;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
65;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
66;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
67;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
68;4;R;9;982126058484277;Gr9_4277_1;P-A;P;A;
69;4;O;9;982126058484277;Gr9_4277_1;P-A;P;A;
70;4;O;9;982126058484277;Gr9_4277_1;P-A;P;A;
71;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
72;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
73;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
74;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
75;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
76;4;R;9;982126058484277;Gr9_4277_1;NP-NOAS;NP;NOAS;
