Group_x,PlaylistID,segmento,codigo_tratamiento,Global_Code_LINEABASE,Global_Code_PARENTESCO,Global_Code_ASOCIACION,Tratamiento_codigo,Tratamiento_significado_x,parentesco_x,asociacion_x,riesgo_x,ID_leaf_x_y,TIPO,orden_segmento,Conteo
9,Gr9_4277_1,L1,A,1,42,77,A,P-A,P,A,,982126058484277,R,1.0,59.0
9,Gr9_4300_1,L1,A,2,42,78,A,P-A,P,A,,982126058484300,R,,0.0
9,Gr9_5103_1,L1,B,3,43,77,B,P-NOAS,P,NOAS,,982126057845103,R,3.0,35.0
9,Gr9_7919_1,L1,A,4,44,79,A,P-A,P,A,,982091068557919,R,4.0,44.0
5,Gr5_5119_1,L1,D,5,45,80,D,NP-NOAS,NP,NOAS,,982126057845119,R,5.0,44.0
5,Gr5_4301_1,L1,D,6,46,81,D,NP-NOAS,NP,NOAS,,982126058484301,R,6.0,26.0
13,Gr13_8540_1,L1,D,7,47,80,D,NP-NOAS,NP,NOAS,,982126051278540,R,,0.0
13,Gr13_8521_1,L1,B,8,48,81,B,P-NOAS,P,NOAS,,982126051278521,R,,0.0
7,Gr7_5113_1,L1,C,9,49,82,C,NP-A,NP,A,,982126057845113,R,9.0,25.0
7,Gr7_5141_1,L1,C,10,45,83,C,NP-A,NP,A,,982126057845141,R,,0.0
8,Gr8_6186_1,L1,A,11,50,83,A,P-A,P,A,,982126057846186,R,11.0,82.0
8,Gr8_8475_1,L1,A,12,51,84,A,P-A,P,A,,982126051278475,R,12.0,22.0
6,Gr6_6231_1,L1,C,13,42,85,C,NP-A,NP,A,,982126057846231,R,13.0,37.0
1,Gr1_4421_1,L1,A,14,52,82,A,P-A,P,A,,982091068554421,R,14.0,44.0
1,Gr1_4331_1,L1,C,15,53,86,C,NP-A,NP,A,,982126058484331,R,15.0,5.0
10,Gr10_5921_1,L1,C,16,54,87,C,NP-A,NP,A,,982126052945921,R,,0.0
10,Gr10_6430_1,L1,A,17,55,88,A,P-A,P,A,,900200000206430,R,,0.0
10,Gr10_5106_1,L1,C,10,55,88,C,NP-A,NP,A,,982126057845106,R,10.0,56.0
14,Gr14_5099_1,L1,A,14,55,88,A,P-A,P,A,,982126057845099,R,,0.0
14,Gr14_3556_1,L1,C,15,53,86,C,NP-A,NP,A,,982091068543556,R,,0.0
14,Gr14_6154_1,L1,C,18,56,89,C,NP-A,NP,A,,982126057846154,R,18.0,50.0
3,Gr3_9490_1,L1,C,19,57,90,C,NP-A,NP,A,,900200000279490,R,,0.0
3,Gr3_4334_1,L1,B,20,58,91,B,P-NOAS,P,NOAS,,982126058484334,R,20.0,4.0
3,Gr3_4346_1,L1,A,21,56,92,A,P-A,P,A,,982126058484346,R,21.0,2.0
11,Gr11_5125_1,L1,B,22,58,91,B,P-NOAS,P,NOAS,,982126057845125,R,22.0,38.0
4,Gr4_3072_1,L1,A,23,59,93,A,P-A,P,A,,982091068563072,R,23.0,24.0
4,Gr4_6209_1,L1,A,14,60,94,A,P-A,P,A,,982126057846209,R,14.0,69.0
2,Gr2_4287_1,L1,A,1,42,77,A,P-A,P,A,,982126058484287,R,,0.0
2,Gr2_6277_1,L1,A,2,42,78,A,P-A,P,A,,982126057846227,R,2.0,1.0
2,Gr2_5093_1,L1,B,3,43,77,B,P-NOAS,P,NOAS,,982126057845093,R,3.0,49.0
9,Gr9_4277_2,L1,A,2,61,91,A,P-A,P,A,,982126058484277,R,2.0,33.0
9,Gr9_4300_2,L1,D,24,62,95,D,NP-NOAS,NP,NOAS,,982126058484300,R,24.0,1.0
9,Gr9_5103_2,L1,D,24,58,77,D,NP-NOAS,NP,NOAS,,982126057845103,R,,0.0
9,Gr9_7919_2,L1,D,25,63,96,D,NP-NOAS,NP,NOAS,,982091068557919,R,25.0,21.0
5,Gr5_5119_2,L1,C,15,50,97,C,NP-A,NP,A,,982126057845119,R,15.0,34.0
5,Gr5_4301_2,L1,C,26,55,98,C,NP-A,NP,A,,982126058484301,R,26.0,49.0
13,Gr13_8540_2,L1,B,27,64,94,B,P-NOAS,P,NOAS,,982126051278540,R,,0.0
13,Gr13_8521_2,L1,D,7,56,97,D,NP-NOAS,NP,NOAS,,982126051278521,R,,0.0
7,Gr7_5113_2,L1,C,28,65,82,C,NP-A,NP,A,,982126057845113,R,,0.0
7,Gr7_5141_2,L1,C,29,49,99,C,NP-A,NP,A,,982126057845141,R,,0.0
8,Gr8_6186_2,L1,A,30,66,100,A,P-A,P,A,,982126057846186,R,30.0,38.0
8,Gr8_8475_2,L1,C,31,67,101,C,NP-A,NP,A,,982126051278475,R,,0.0
6,Gr6_6231_2,L1,B,32,43,102,B,P-NOAS,P,NOAS,,982126057846231,R,,0.0
1,Gr1_4421_2,L1,C,26,55,103,C,NP-A,NP,A,,982091068554421,R,26.0,4.0
1,Gr1_4331_2,L1,A,33,45,104,A,P-A,P,A,,982126058484331,R,,0.0
10,Gr10_5921_2,L1,C,18,56,99,C,NP-A,NP,A,,982126052945921,R,,0.0
10,Gr10_6430_2,L1,C,28,52,105,C,NP-A,NP,A,,900200000206430,R,,0.0
10,Gr10_5106_2,L1,C,10,52,81,C,NP-A,NP,A,,982126057845106,R,10.0,30.0
14,Gr14_5099_2,L1,C,15,68,106,C,NP-A,NP,A,,982126057845099,R,15.0,18.0
14,Gr14_3556_2,L1,D,34,69,80,D,NP-NOAS,NP,NOAS,,982091068543556,R,34.0,12.0
14,Gr14_6154_2,L1,D,35,70,100,D,NP-NOAS,NP,NOAS,,982126057846154,R,35.0,28.0
3,Gr3_9490_2,L1,D,36,58,107,D,NP-NOAS,NP,NOAS,,900200000279490,R,,0.0
3,Gr3_4334_2,L1,A,37,71,92,A,P-A,P,A,,982126058484334,R,37.0,1.0
3,Gr3_4346_2,L1,A,1,71,77,A,P-A,P,A,,982126058484346,R,,0.0
11,Gr11_5125_2,L1,A,38,48,92,A,P-A,P,A,,982126057845125,R,38.0,9.0
4,Gr4_3072_2,L1,C,39,60,97,C,NP-A,NP,A,,982091068563072,R,39.0,24.0
4,Gr4_6209_2,L1,D,34,72,105,D,NP-NOAS,NP,NOAS,,982126057846209,R,34.0,54.0
2,Gr2_4287_2,L1,D,24,44,79,D,NP-NOAS,NP,NOAS,,982126058484287,R,,0.0
2,Gr2_5093_2,L1,D,25,61,91,D,NP-NOAS,NP,NOAS,,982126057845093,R,25.0,11.0
9,Gr9_4277_1,L2,D,1,42,77,D,NP-NOAS,NP,NOAS,,982126058484277,R,1.0,55.0
9,Gr9_4300_1,L2,B,2,42,78,B,P-NOAS,P,NOAS,,982126058484300,R,,0.0
9,Gr9_5103_1,L2,A,3,43,77,A,P-A,P,A,,982126057845103,R,3.0,67.0
9,Gr9_7919_1,L2,A,4,44,79,A,P-A,P,A,,982091068557919,R,4.0,50.0
5,Gr5_5119_1,L2,C,5,45,80,C,NP-A,NP,A,,982126057845119,R,5.0,34.0
5,Gr5_4301_1,L2,D,6,46,81,D,NP-NOAS,NP,NOAS,,982126058484301,R,6.0,31.0
13,Gr13_8540_1,L2,C,7,47,80,C,NP-A,NP,A,,982126051278540,R,,0.0
13,Gr13_8521_1,L2,D,8,48,81,D,NP-NOAS,NP,NOAS,,982126051278521,R,,0.0
7,Gr7_5113_1,L2,D,9,49,82,D,NP-NOAS,NP,NOAS,,982126057845113,R,9.0,27.0
7,Gr7_5141_1,L2,A,10,45,83,A,P-A,P,A,,982126057845141,R,,0.0
8,Gr8_6186_1,L2,C,11,50,83,C,NP-A,NP,A,,982126057846186,R,11.0,66.0
8,Gr8_8475_1,L2,A,12,51,84,A,P-A,P,A,,982126051278475,R,12.0,32.0
6,Gr6_6231_1,L2,B,13,42,85,B,P-NOAS,P,NOAS,,982126057846231,R,13.0,18.0
1,Gr1_4421_1,L2,D,14,52,82,D,NP-NOAS,NP,NOAS,,982091068554421,R,14.0,35.0
1,Gr1_4331_1,L2,D,15,53,86,D,NP-NOAS,NP,NOAS,,982126058484331,R,15.0,10.0
10,Gr10_5921_1,L2,D,16,54,87,D,NP-NOAS,NP,NOAS,,982126052945921,R,,0.0
10,Gr10_6430_1,L2,D,17,55,88,D,NP-NOAS,NP,NOAS,,900200000206430,R,,0.0
10,Gr10_5106_1,L2,A,10,55,88,A,P-A,P,A,,982126057845106,R,10.0,58.0
14,Gr14_5099_1,L2,D,14,55,88,D,NP-NOAS,NP,NOAS,,982126057845099,R,,0.0
14,Gr14_3556_1,L2,D,15,53,86,D,NP-NOAS,NP,NOAS,,982091068543556,R,,0.0
14,Gr14_6154_1,L2,B,18,56,89,B,P-NOAS,P,NOAS,,982126057846154,R,18.0,46.0
3,Gr3_9490_1,L2,D,19,57,90,D,NP-NOAS,NP,NOAS,,900200000279490,R,,0.0
3,Gr3_4334_1,L2,D,20,58,91,D,NP-NOAS,NP,NOAS,,982126058484334,R,20.0,2.0
3,Gr3_4346_1,L2,D,21,56,92,D,NP-NOAS,NP,NOAS,,982126058484346,R,,0.0
11,Gr11_5125_1,L2,D,22,58,91,D,NP-NOAS,NP,NOAS,,982126057845125,R,22.0,35.0
4,Gr4_3072_1,L2,D,23,59,93,D,NP-NOAS,NP,NOAS,,982091068563072,R,23.0,26.0
4,Gr4_6209_1,L2,D,14,60,94,D,NP-NOAS,NP,NOAS,,982126057846209,R,14.0,43.0
2,Gr2_4287_1,L2,D,1,42,77,D,NP-NOAS,NP,NOAS,,982126058484287,R,,0.0
2,Gr2_6277_1,L2,B,2,42,78,B,P-NOAS,P,NOAS,,982126057846227,R,2.0,1.0
2,Gr2_5093_1,L2,A,3,43,77,A,P-A,P,A,,982126057845093,R,3.0,34.0
